candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only
44,c007_s2_00800,m1d_b20260827_c007,8.0,G-S,AMBIGUOUS,,0.062194960148114875,-0.0706290280099563,0.01040806563261255,0.005260954141615173,0.9891804178906182,-0.011819471502909795,0.00625291353504246,0.945117139128131,False,False,0.14291815879901834,unsupported_required_contrast,,0.08674899999999999,0.00036007740395935066,4442.971364882046,0.0706290280099563
45,c010_s2_00125,m1d_b20260827_c010,1.25,G-W,WIDEN,WIDEN,-0.13125395898204073,0.21754692537222886,-0.0206897826848954,0.0040332799924497915,2.5648830137786374,0.03429228835935107,0.004307429174045535,3.9805980520793764,True,True,0.401499250512336,,,0.096929,0.000244516601524421,4997.493898955322,0.21754692537222886
46,c010_s2_00160,m1d_b20260827_c010,1.6,G-W,WIDEN,WIDEN,-0.10888211960509375,0.14448596882108644,-0.01333611358507407,0.001645110603167635,4.053257440379872,0.01769694876106476,0.0027245792842925123,3.247647969558005,True,True,0.2843261189124586,,,0.096929,0.000244516601524421,6470.860919395258,0.14448596882108644
47,c010_s2_00200,m1d_b20260827_c010,2.0,G-W,WIDEN,WIDEN,-0.11818244574245296,0.1249284015199208,-0.012266543337010393,0.0013070755617665582,4.692361978075595,0.012966728194194648,0.002979239676253448,2.1761807714814334,True,True,0.2756929095917837,,,0.096929,0.000244516601524421,7853.389462788389,0.1249284015199208
48,c010_s2_00250,m1d_b20260827_c010,2.5,G-H,WIDEN,WIDEN,-0.06362323326701791,0.1009356644890691,-0.0057589323725508864,0.0014398167925963883,1.9998837359598844,0.009136311311490211,0.002073851915068427,2.202739560406066,True,True,0.1757400478124131,,,0.096929,0.000244516601524421,9102.60899419955,0.1009356644890691
49,c010_s2_00320,m1d_b20260827_c010,3.2,G-H,WIDEN,,-0.07407631062520847,0.058275935921998645,-0.006742729966730665,0.0012673508001132927,2.6601671637118587,0.005304514981430716,0.0014376491434567548,1.8448572816161104,True,True,0.14294077154087595,,,0.096929,0.000244516601524421,10069.247458559945,0.07407631062520847
50,c010_s2_00400,m1d_b20260827_c010,4.0,G-H,AMBIGUOUS,,-0.03015087632336333,0.04697295808894619,-0.0024356327170900593,0.00135560144395797,0.8983587056305818,0.003794545548624219,0.0016055687206730132,1.1816826959090367,False,True,0.07952147661889719,unsupported_required_contrast,,0.096929,0.000244516601524421,10820.355320604665,0.04697295808894619
51,c010_s2_00500,m1d_b20260827_c010,5.0,G-S,HOLD,HOLD,0.012811736450210054,0.029573930444085628,0.0009863979025543771,0.0016218321846766706,0.30409986676612477,0.0022769484116149565,0.0017350065550987622,0.6561786193036444,False,False,0.012811736450210108,,,0.096929,0.000244516601524421,11835.203266795776,0.029573930444085628
52,c010_s2_00640,m1d_b20260827_c010,6.4,G-S,AMBIGUOUS,,0.032949638415909366,-0.0014719685494383183,0.0027179642864532485,0.0014223959816348976,0.9554175917065052,-0.00012142039004057193,0.001309785203906942,0.04635126037398672,False,False,-0.0014719685494383457,no_unique_preregistered_class,,0.096929,0.000244516601524421,11230.911137235647,0.032949638415909366
53,c010_s2_00800,m1d_b20260827_c010,8.0,G-S,SHRINK,SHRINK,0.03461905075649896,-0.028585840158672604,0.0028663134855772842,0.001401369611499959,1.0226829032311182,-0.002366788729121297,0.0011334886200783504,1.0440284477481991,True,True,0.06506482356145134,,,0.096929,0.000244516601524421,11118.905657297248,0.03461905075649896
