config_id,theta_S1,theta_S2,theta_S3,theta_S4,h_S1,h_S2,h_S3,h_S4,curved_S2,curved_S3,curved_S4,P_S2,P_S3,P_S4,L_S2,L_S3,L_S4,rank_P_S2,rank_P_S3,rank_P_S4,rank_L_S2,rank_L_S3,rank_L_S4,k_P_star,k_V_star,kendall_tau,spearman_rho,omega_top,E1,E2,E3,E4,E5,E6,eligible
m1d_b20260827_c042,203.65406948028357,348.8394560476971,308.25348469764776,135.1183223374927,1.6437120490607842,2.052036822116829,2.120098916602405,2.2670495568020264,1,1,0,0.007275688243035461,0.009235537579314152,0.011738021138178756,0.8627554070705573,0.09797516514655615,0.02978006061542536,3,2,1,1,2,3,S4,S2,-1.0,-1.0,0.8710208436666217,1,1,1,1,1,1,1
m1d_b20260827_c043,194.39758972251946,114.84907328992414,284.3836623785398,17.524083518858482,1.6279902235208283,2.5681894416345203,2.0617253569022997,1.8952289644327458,0,0,0,0.00505814053315721,0.019238329202198104,0.028936265058905265,0.022506173156108072,0.18267409491614106,5.5803398353785605,3,2,1,3,2,1,S4,S4,1.0,1.0,0.9645355535192301,1,1,0,0,1,0,0
m1d_b20260827_c044,153.03193825847637,328.61170094237673,62.40616913516088,282.52011417638863,1.7161581290797718,2.0952804034687684,2.056550285610584,1.9746238721747074,0,0,0,0.011341350108940398,0.019884307177657722,0.024088231515967288,3.7337662646752836,0.3926671327768564,3.5825281527113164,3,2,1,1,3,2,S4,S2,-0.3333333333333333,-0.5,0.4843410153727015,1,1,1,1,1,1,1
m1d_b20260827_c045,206.4133702312413,110.4167479593701,322.2567620036872,48.894375069936004,1.5406387774131485,1.7757377646868016,2.5693263642971447,2.314819596256686,0,1,1,0.03582612788995563,0.002713795371085812,0.0049056169241299095,0.29166862911720326,0.13842897962081796,0.8074088604897083,1,3,2,2,3,1,S2,S4,0.3333333333333333,0.5,0.6524481936596055,1,1,1,1,1,1,1
m1d_b20260827_c046,147.97868889380777,71.89846591267987,29.280770652401785,243.56022012253038,1.9075303700703836,2.5260938810975597,1.533585986762743,2.58854993324467,0,1,0,0.004118639290028398,0.03947617516958856,0.0047889638124039395,0.005295001828541912,3.774899313593729,0.2859449032261091,3,1,2,3,1,2,S3,S3,1.0,1.0,0.9283743400326904,1,1,0,0,1,0,0
m1d_b20260827_c047,166.37102803226253,246.99145245297592,351.5291548294176,287.2314434688431,1.654415190397909,2.4009982068503923,1.7939090790618193,1.820032645503192,0,0,0,0.002875557741579923,0.03024179850675058,0.0343121515232882,0.0015594923540046528,5.003334081297558,2.5527228521433436,3,2,1,3,1,2,S4,S3,0.3333333333333333,0.5,0.6620254058171932,1,1,1,0,1,1,0
m1d_b20260827_c048,130.20499480439082,210.5655892740403,259.74492564240757,79.3763329708022,1.8774518308652985,2.077940148968238,1.8484542428394957,2.3837508363400737,0,1,1,0.015066319321402667,0.019262846806516642,0.004248222673802661,0.0448696198152897,2.766865051645644,0.0024966665207564595,2,1,3,2,1,3,S3,S3,1.0,1.0,0.9831690146802159,1,1,0,0,1,0,0
m1d_b20260827_c049,156.86475230625743,74.29097114245901,207.41969681012628,320.33298119509027,1.8619287141969187,2.2655133211742458,2.3548393041973514,2.037944668721135,1,1,0,0.00679186048353592,0.005355619194873445,0.021016867775617423,0.030506485371046853,0.0016181430869533716,12.845101167739635,2,3,1,2,3,1,S4,S4,1.0,1.0,0.9975053145012426,1,1,0,0,1,0,0
m1d_b20260827_c050,148.536157121639,12.560987737555415,56.778449359495276,280.0787091417436,1.8046433723030277,1.6702263422796435,1.9172032412307942,2.199757419482399,1,0,0,0.011818359807109264,0.02755446205939161,0.013923160075914197,1.308497416339329,0.8214122569938106,4.072367213854057,3,1,2,2,3,1,S3,S4,-0.3333333333333333,-0.5,0.6565922947211282,1,1,1,1,1,1,1
m1d_b20260827_c051,128.18790024278206,193.5872037571434,309.5221100879073,8.895693344822956,1.7202548830255238,2.55940160578078,1.8863238445593074,1.7687854194218933,0,0,1,0.0052124873682243755,0.02637270708242421,0.023317574601832144,0.009651842427988768,7.629491559231256,1.4588471699363703,3,1,2,3,1,2,S3,S3,1.0,1.0,0.8385908403830307,1,1,0,0,1,1,0
